WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.198.92:5000
Press CTRL+C to quit
127.0.0.1 - - [18/Sep/2026 22:22:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:22:35] "GET /api/v1/ai/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:22:49] "POST /auth/login HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:22:56] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:22:57] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:22:57] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:22:57] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:06] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:08] "GET /api/v1/ai/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:26] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:26] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:27] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:27] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:27] "POST /auth/login HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:33] "POST /api/v1/ai/chat HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:56] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:57] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:57] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:23:57] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:26] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:26] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:27] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:27] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:31] "POST /api/v1/ai/chat HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:56] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:56] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:57] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:24:57] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:25:15] "POST /api/v1/ai/chat HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:25:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:25:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:25:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:25:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:26:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:26:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:26:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:26:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:27:46] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:27:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:27:47] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:27:47] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:05] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:05] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:05] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:05] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:05] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:05] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /home HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /favicon.ico HTTP/1.1" 204 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /static/js/sandbox-engine.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /static/css/design-system.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /static/js/offline-store.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /static/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:06] "GET /static/manifest.webmanifest HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:07] "GET /sandbox HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:07] "GET /static/js/sandbox-engine.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:07] "GET /static/css/design-system.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:07] "GET /static/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:07] "GET /static/js/offline-store.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /service-worker.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /favicon.ico HTTP/1.1" 204 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /static/manifest.webmanifest HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /progress HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /static/css/design-system.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /static/js/sandbox-engine.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /static/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /static/js/offline-store.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /favicon.ico HTTP/1.1" 204 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /static/manifest.webmanifest HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/v1/assignments HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/system/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:08] "GET /api/v1/announcements HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /service-worker.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /ask-ai HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /static/css/design-system.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /static/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /static/js/sandbox-engine.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /static/js/offline-store.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /api/v1/ai/status HTTP/1.1" 200 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /static/manifest.webmanifest HTTP/1.1" 304 -
127.0.0.1 - - [18/Sep/2026 22:28:10] "GET /favicon.ico HTTP/1.1" 204 -
